,TimeStep,PreyAbundance,PredatorAbundance
1,1,100,10
2,2,110,10.5
3,3,120.45,11.13
4,4,131.133915,11.9141085
5,5,141.7372611,12.88074677
6,6,151.8278956,14.0623912
7,7,160.8428421,15.4943349
8,8,168.0898819,17.21177102
9,9,172.7766127,19.24430702
10,10,174.0822735,21.60705785
11,11,171.2846706,24.28811071
12,12,163.9397943,27.23388622
13,13,152.0805761,30.33690962
14,14,136.3601444,33.43371883
15,15,118.041906,36.32105962
16,16,98.77621617,38.79241374
17,17,80.21378095,40.6845609
18,18,63.62191258,41.91379531
19,19,49.67993689,42.48474137
20,20,38.50953157,42.47114357
21,21,29.85599944,41.98313023
22,22,23.2927162,41.13742203
23,23,18.36923648,40.03875323
24,24,14.68827051,38.77229689
25,25,11.93094476,37.40318003
26,26,9.854580964,35.97927631
27,27,8.279890243,34.53487318
28,28,7.076418696,33.09407448
29,29,6.149827161,31.67355829
30,30,5.431923503,30.28466728
31,31,4.873268244,28.93493791
32,32,4.437844752,27.62919873
33,33,4.099272756,26.37035289
34,34,3.838134616,25.15993451
35,35,3.640089383,23.998505
36,36,3.494540227,22.88593646
37,37,3.393690017,21.82161546
38,38,3.331870035,20.80459049
39,39,3.305062125,19.83367915
40,40,3.310559133,18.90754674
41,41,3.346725444,18.02476395
42,42,3.412831171,17.18384969
43,43,3.508941627,16.38330278
44,44,3.635849421,15.6216257
45,45,3.795040518,14.89734229
46,46,3.988688445,14.20901119
47,47,4.219672947,13.55523595
48,48,4.491620912,12.93467282
49,49,4.808968625,12.34603682
50,50,5.177045313,11.78810669
51,51,5.602178751,11.25972891
52,52,6.09182436,10.75982148
53,53,6.654719806,10.28737735
54,54,7.301067629,9.841468098
55,55,8.042748913,9.421247917
56,56,8.893571381,9.025958253
57,57,9.869555618,8.654933344
58,58,10.98926328,8.307607023
59,59,12.27417113,7.983521153
60,60,13.74909431,7.6823362
61,61,15.44266152,7.403844555
62,62,17.38784317,7.147987392
63,63,19.62253096,6.914876106
64,64,22.19016345,6.704819672
65,65,25.1403857,6.518359732
66,66,28.52972206,6.356315824
67,67,32.42222724,6.219843956
68,68,36.89006074,6.110512953
69,69,42.01390095,6.030404499
70,70,47.88307297,5.982245091
71,71,54.59520478,5.969581115
72,72,62.2551407,5.997012563
73,73,70.97272023,6.070506795
74,74,80.85886047,6.197821836
75,75,92.01914446,6.389079555
76,76,104.543797,6.657543212
77,77,118.4925079,7.020670897
78,78,133.8720405,7.501534255
79,79,150.6039916,8.13070324
80,80,168.4796263,8.94868444
81,81,187.0988415,10.00892123
82,82,205.7920341,11.38113273
83,83,223.5289764,13.15422255
84,84,238.8312726,15.43686133
85,85,249.7294748,18.3518235
86,86,253.8454573,22.01722357
87,87,248.7248269,26.50533457
88,88,232.5444448,31.7726026
89,89,205.1679114,37.5725147
90,90,169.11475,43.40256334
91,91,129.5375635,48.57244882
92,92,92.5255095,52.43578305
93,93,62.51413597,54.66564144
94,94,40.84320974,55.34973471
95,95,26.40524345,54.8429088
96,96,17.20488856,53.54890372
97,97,11.43283706,51.79276145
98,98,7.798022447,49.79526158
99,99,5.47458126,47.69380307
100,100,3.958461507,45.57021652
