"","Generations","Abundance"
"1",1,2500
"2",2,3746.875
"3",3,5613.29296386719
"4",4,8404.18491685168
"5",5,12570.9622132192
"6",6,18777.4287743457
"7",7,27989.8472458308
"8",8,41593.0550943237
"9",9,61524.5915254458
"10",10,90394.2496069822
"11",11,131505.814229469
"12",12,188611.831756125
"13",13,265130.536094987
"14",14,362548.703557473
"15",15,478102.274110608
"16",16,602862.518911044
"17",17,722572.170012682
"18",18,822802.984580604
"19",19,895702.101153531
"20",20,942412.024724872
"21",21,969547.824914291
"22",22,984310.24497342
"23",23,992032.038280313
"24",24,995984.274933173
"25",25,997984.07444268
"26",26,998990.005243414
"27",27,999494.492577003
"28",28,999747.118519624
"29",29,999873.52728529
"30",30,999936.755644971
"31",31,999968.375822561
"32",32,999984.187411236
"33",33,999992.093580599
"34",34,999996.046759044
"35",35,999998.023371708
"36",36,999999.0116839
"37",37,999999.505841462
"38",38,999999.752920609
"39",39,999999.876460274
"40",40,999999.938230129
"41",41,999999.969115063
"42",42,999999.984557531
"43",43,999999.992278765
"44",44,999999.996139383
"45",45,999999.998069691
"46",46,999999.999034846
"47",47,999999.999517423
"48",48,999999.999758711
"49",49,999999.999879356
"50",50,999999.999939678
